permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/waywire,#waywire,http://www.waywire.com,|Entertainment|Politics|Social Media|News|, News ,"1,750,000",acquired,USA,NY,New York City,New York,1.0,2012-06-01T00:00:00,2012-06,2012-Q2,2012.0,2012-06-30T00:00:00,2012-06-30T00:00:00
/organization/tv-communications,&TV Communications,http://enjoyandtv.com,|Games|, Games ,"4,000,000",operating,USA,CA,Los Angeles,Los Angeles,2.0,,,,,2010-06-04T00:00:00,2010-09-23T00:00:00
/organization/rock-your-paper,'Rock' Your Paper,http://www.rockyourpaper.org,|Publishing|Education|, Publishing ,"40,000",operating,EST,,Tallinn,Tallinn,1.0,2012-10-26T00:00:00,2012-10,2012-Q4,2012.0,2012-08-09T00:00:00,2012-08-09T00:00:00
/organization/in-touch-network,(In)Touch Network,http://www.InTouchNetwork.com,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|, Electronics ,"1,500,000",operating,GBR,,London,London,1.0,2011-04-01T00:00:00,2011-04,2011-Q2,2011.0,2011-04-01T00:00:00,2011-04-01T00:00:00
/organization/n-plusn,#NAME?,http://plusn.com,|Software|, Software ,"1,200,000",operating,USA,NY,New York City,New York,2.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2012-08-29T00:00:00,2014-09-04T00:00:00
/organization/club-domains,.Club Domains,http://nic.club/,|Software|, Software ,"7,000,000",,USA,FL,Ft. Lauderdale,Oakland Park,1.0,2011-10-10T00:00:00,2011-10,2011-Q4,2011.0,2013-05-31T00:00:00,2013-05-31T00:00:00
/organization/fox-networks,.Fox Networks,http://www.dotfox.com,|Advertising|, Advertising ,"4,912,393",closed,ARG,,Buenos Aires,Buenos Aires,1.0,,,,,2007-01-16T00:00:00,2007-01-16T00:00:00
/organization/0-6-com,0-6.com,http://www.0-6.com,|Curated Web|, Curated Web ,"2,000,000",operating,,,,,1.0,2007-01-01T00:00:00,2007-01,2007-Q1,2007.0,2008-03-19T00:00:00,2008-03-19T00:00:00
/organization/004-technologies,004 Technologies,http://004gmbh.de/en/004-interact,|Software|, Software , -   ,operating,USA,IL,"Springfield, Illinois",Champaign,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2014-07-24T00:00:00,2014-07-24T00:00:00
/organization/01games-technology,01Games Technology,http://www.01games.hk/,|Games|, Games ,"41,250",operating,HKG,,,,1.0,,,,,2014-07-01T00:00:00,2014-07-01T00:00:00
/organization/0xdata,0xdata,http://www.0xdata.com,|Analytics|, Analytics ,"10,600,000",operating,USA,CA,SF Bay Area,Mountain View,2.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2013-01-03T00:00:00,2014-07-19T00:00:00
/organization/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,|E-Commerce|, E-Commerce ,"40,000",operating,CHL,,Santiago,Las Condes,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2013-02-18T00:00:00,2013-02-18T00:00:00
/organization/1-4-all,1-4 All,,|Entertainment|Games|Software|, Software , -   ,operating,USA,NC,North Carolina,Connellys Springs,1.0,,,,,2013-04-21T00:00:00,2013-04-21T00:00:00
/organization/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,|Health and Wellness|, Health and Wellness , -   ,operating,USA,CA,Los Angeles,Los Angeles,1.0,1986-01-01T00:00:00,1986-01,1986-Q1,1986.0,2010-08-19T00:00:00,2010-08-19T00:00:00
/organization/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,|Health and Wellness|, Health and Wellness ,"1,750,000",operating,USA,NJ,Newark,Iselin,1.0,1984-01-01T00:00:00,1984-01,1984-Q1,1984.0,2011-03-02T00:00:00,2011-03-02T00:00:00
/organization/1-618-technology,1.618 Technology,,|Real Estate|, Real Estate , -   ,operating,USA,FL,Orlando,Orlando,1.0,2013-12-07T00:00:00,2013-12,2013-Q4,2013.0,2014-01-22T00:00:00,2014-01-22T00:00:00
/organization/10-20-media,10-20 Media,http://www.10-20media.com,|E-Commerce|, E-Commerce ,"2,050,000",operating,USA,MD,Baltimore,Woodbine,4.0,2001-01-01T00:00:00,2001-01,2001-Q1,2001.0,2009-06-18T00:00:00,2011-12-28T00:00:00
/organization/1000-corks,1000 Corks,http://1000corks.com,|Search|, Search ,"40,000",operating,USA,OR,"Portland, Oregon",Lake Oswego,1.0,2008-01-01T00:00:00,2008-01,2008-Q1,2008.0,2011-08-23T00:00:00,2011-08-23T00:00:00
/organization/1000-markets,1000 Markets,http://www.1000markets.com,|Marketplaces|Art|E-Commerce|, Marketplaces ,"500,000",acquired,,,,,1.0,2009-01-01T00:00:00,2009-01,2009-Q1,2009.0,2009-05-15T00:00:00,2009-05-15T00:00:00
/organization/1000jobboersen-de,1000jobboersen.de,http://www.1000jobboersen.de,|Curated Web|, Curated Web , -   ,operating,DEU,,Berlin,Berlin,1.0,,,,,2011-09-16T00:00:00,2011-09-16T00:00:00
/organization/1000memories,1000memories,http://1000memories.com,|Curated Web|, Curated Web ,"2,535,000",acquired,USA,CA,SF Bay Area,San Francisco,2.0,2010-07-01T00:00:00,2010-07,2010-Q3,2010.0,2010-01-01T00:00:00,2011-02-16T00:00:00
/organization/1000museums-com,1000museums.com,http://www.1000museums.com,|Curated Web|, Curated Web ,"4,462,651",operating,USA,WA,Omaha,Bellevue,4.0,2008-01-01T00:00:00,2008-01,2008-Q1,2008.0,2009-10-14T00:00:00,2014-01-15T00:00:00
/organization/1001-menus,1001 Menus,http://1001menus.com,|Local Businesses|Restaurants|, Restaurants ,"4,059,079",operating,FRA,,Paris,Paris,4.0,2010-11-20T00:00:00,2010-11,2010-Q4,2010.0,2012-12-15T00:00:00,2013-11-13T00:00:00
/organization/1006-tv,1006.tv,http://www.1006.tv/,|Media|Games|, Media ,"10,000,000",operating,CHN,,Beijing,Beijing,3.0,2009-01-01T00:00:00,2009-01,2009-Q1,2009.0,2011-01-01T00:00:00,2014-07-31T00:00:00
/organization/100du-tv,100du.tv,http://www.100du.com,|Hospitality|, Hospitality ,"3,000,000",operating,,,,,2.0,,,,,2008-01-07T00:00:00,2010-08-13T00:00:00
/organization/100e-com,100e.com,http://www.100e.com,|Education|, Education ,"3,000,000",operating,CHN,,Beijing,Beijing,1.0,,,,,2006-01-01T00:00:00,2006-01-01T00:00:00
/organization/100plus,100Plus,http://www.100plus.com,|Analytics|, Analytics ,"1,250,000",acquired,USA,CA,SF Bay Area,San Francisco,2.0,2011-09-16T00:00:00,2011-09,2011-Q3,2011.0,2011-11-02T00:00:00,2011-11-30T00:00:00
/organization/1010data,1010data,http://www.1010data.com,|Software|, Software ,"35,000,000",operating,USA,NY,New York City,New York,1.0,2000-01-01T00:00:00,2000-01,2000-Q1,2000.0,2010-03-08T00:00:00,2010-03-08T00:00:00
/organization/10bestthings,10BestThings,http://10bestthings.com,|Curated Web|, Curated Web ,"50,000",closed,USA,OH,Cleveland,Cleveland,1.0,2009-04-01T00:00:00,2009-04,2009-Q2,2009.0,2009-04-01T00:00:00,2009-04-01T00:00:00
/organization/10sec,10sec,http://10s.ec/,|Social Commerce|E-Commerce|Mobile Commerce|, Mobile Commerce ,"1,600,000",,,,,,1.0,2013-07-08T00:00:00,2013-07,2013-Q3,2013.0,2014-05-08T00:00:00,2014-05-08T00:00:00
/organization/10seconds-software,10seconds Software,http://www.10secondsSoftware.com,|Mobility|Enterprise Software|Software|, Mobility ,"100,000",operating,AUS,,Sydney,Sydney,1.0,2009-07-01T00:00:00,2009-07,2009-Q3,2009.0,2010-07-01T00:00:00,2010-07-01T00:00:00
/organization/10six,10Six,http://10sixenergy.com,,, -   ,operating,USA,NY,New York City,New York,1.0,,,,,2014-02-01T00:00:00,2014-02-01T00:00:00
/organization/10x-technologies,10X Technologies,http://10xtechnologies.com,|Biotechnology|, Biotechnology ,"3,000,000",operating,USA,CA,SF Bay Area,Oakland,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2012-11-07T00:00:00,2012-11-07T00:00:00
/organization/10x10-room,10X10 Room,http://10x10room.com,|Software|, Software ,"77,500",operating,USA,MA,Lexington,Lexington,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2011-10-12T00:00:00,2011-10-12T00:00:00
/organization/115-network-disks,115 network disks,http://www.115.com/,|Education|, Education , -   ,operating,,,,,1.0,,,,,2011-11-01T00:00:00,2011-11-01T00:00:00
/organization/117go,117go,http://117go.com,,,"20,000,000",,CHN,,Shanghai,Shanghai,1.0,2011-10-01T00:00:00,2011-10,2011-Q4,2011.0,2014-04-28T00:00:00,2014-04-28T00:00:00
/organization/11i-solutions,11i Solutions,http://www.11isolutions.com,|Enterprise Software|, Enterprise Software ,"1,800,000",closed,USA,AL,Huntsville,Huntsville,1.0,,,,,2011-03-22T00:00:00,2011-03-22T00:00:00
/organization/12-star-survival,12 Star Survival,http://www.12starsurvival.com,|Sports|, Sports , -   ,operating,,,,,1.0,2013-07-17T00:00:00,2013-07,2013-Q3,2013.0,2013-10-17T00:00:00,2013-10-17T00:00:00
/organization/120-sports,120 Sports,http://www.120sports.com,|Sports|, Sports , -   ,operating,USA,IL,Chicago,Chicago,1.0,2013-01-01T00:00:00,2013-01,2013-Q1,2013.0,2014-02-20T00:00:00,2014-02-20T00:00:00
/organization/121cast,121cast,http://www.121cast.com,|Audio|Music|Mobile|, Mobile ,"270,000",operating,AUS,,Melbourne,Melbourne,2.0,2012-02-01T00:00:00,2012-02,2012-Q1,2012.0,2012-05-01T00:00:00,2012-11-13T00:00:00
/organization/121nexus,121nexus,http://www.121nexus.com,|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|, Pharmaceuticals ,"794,000",operating,USA,RI,Providence,Providence,6.0,2011-10-07T00:00:00,2011-10,2011-Q4,2011.0,2012-02-06T00:00:00,2014-01-01T00:00:00
/organization/1234enter,1234ENTER,http://www.1234enter.com.br,|Small and Medium Businesses|Education|Analytics|Internet Marketing|Business Services|Advertising|E-Commerce|, Advertising ,"650,267",operating,ITA,,Piemonte,Bra,2.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2012-09-01T00:00:00,2013-11-22T00:00:00
/organization/123contactform,123ContactForm,http://www.123contactform.com,|SaaS|E-Commerce|, SaaS , -   ,operating,ROM,,Timisoara,Timisoara,1.0,2008-01-01T00:00:00,2008-01,2008-Q1,2008.0,2010-01-01T00:00:00,2010-01-01T00:00:00
/organization/123people,123people,http://123people.com,|Software|Search|, Search , -   ,acquired,AUT,,Vienna,Vienna,1.0,2007-01-01T00:00:00,2007-01,2007-Q1,2007.0,2008-01-01T00:00:00,2008-01-01T00:00:00
/organization/1248,1248,http://1248.io/index.php?page=index,|Software|, Software ,"378,812",operating,GBR,,London,Cambridge,1.0,2013-01-01T00:00:00,2013-01,2013-Q1,2013.0,2014-03-18T00:00:00,2014-03-18T00:00:00
/organization/12bis,12Bis,http://12bis.com,,,"130,636",operating,FRA,,Paris,Paris,1.0,2008-01-01T00:00:00,2008-01,2008-Q1,2008.0,2012-03-15T00:00:00,2012-03-15T00:00:00
/organization/12society,12Society,http://www.12Society.com,|E-Commerce|, E-Commerce , -   ,acquired,USA,CA,Los Angeles,West Hollywood,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2012-04-05T00:00:00,2012-04-05T00:00:00
/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,|Manufacturing|, Manufacturing ,"66,450,000",operating,USA,MA,Boston,Bedford,8.0,2007-01-01T00:00:00,2007-01,2007-Q1,2007.0,2008-03-27T00:00:00,2013-12-12T00:00:00
/organization/139shop,139shop,http://www.139shop.com,|E-Commerce|, E-Commerce , -   ,operating,CHN,,,,1.0,,,,,2007-02-01T00:00:00,2007-02-01T00:00:00
/organization/13th-lab,13th Lab,http://13thlab.com,|iPad|Games|Augmented Reality|Computer Vision|Mobile|, Mobile ,"700,000",,SWE,,Stockholm,Stockholm,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2012-06-15T00:00:00,2012-06-15T00:00:00
/organization/140-proof,140 Proof,http://140proof.com,|Interest Graph|Advertising|, Advertising ,"5,500,000",operating,USA,CA,SF Bay Area,San Francisco,2.0,2010-01-11T00:00:00,2010-01,2010-Q1,2010.0,2009-07-01T00:00:00,2011-04-28T00:00:00
/organization/140fire,140Fire,http://140fire.com,|Entertainment|Sports|Real Time|Social Media|Video|Advertising|, Entertainment ,"500,000",operating,USA,CA,Los Angeles,Santa Monica,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2010-05-05T00:00:00,2010-05-05T00:00:00
/organization/phoneuser-network,159.com,http://www.159.com,|Software|, Software ,"6,204,822",operating,CHN,,,,2.0,,,,,2008-02-01T00:00:00,2011-03-01T00:00:00
/organization/15five,15Five,http://15five.com,|Software|, Software ,"1,200,000",operating,USA,CA,SF Bay Area,San Francisco,2.0,2011-05-01T00:00:00,2011-05,2011-Q2,2011.0,2012-01-01T00:00:00,2013-01-15T00:00:00
/organization/15minutesnow,15MinutesNOW,http://15minutesnow.com,|Games|, Games ,"200,000",operating,,,,,1.0,2011-04-19T00:00:00,2011-04,2011-Q2,2011.0,2011-05-10T00:00:00,2011-05-10T00:00:00
/organization/16-mile-solutions,16 Mile Solutions,,|Software|, Software ,"199,957",operating,USA,WA,Seattle,Seattle,1.0,2006-01-01T00:00:00,2006-01,2006-Q1,2006.0,2009-06-11T00:00:00,2009-06-11T00:00:00
/organization/169-st,169 ST.,http://www.junebugreview.com,|Entertainment|Games|, Games ,"50,000",closed,USA,FL,Orlando,Lake Mary,1.0,2009-05-15T00:00:00,2009-05,2009-Q2,2009.0,2009-06-01T00:00:00,2009-06-01T00:00:00
/organization/170-systems,170 Systems,http://www.170systems.com,|Software|, Software ,"14,000,000",acquired,USA,MA,Boston,Bedford,1.0,1990-01-01T00:00:00,1990-01,1990-Q1,1990.0,2002-04-16T00:00:00,2002-04-16T00:00:00
/organization/17u-cn,17u.cn,http://www.17u.cn,|Travel|, Travel ,"84,440,319",operating,CHN,,Shanghai,Suzhou,3.0,2004-01-01T00:00:00,2004-01,2004-Q1,2004.0,2008-01-01T00:00:00,2014-02-01T00:00:00
/organization/1871,1871,http://www.1871.com,,,"2,500,000",operating,USA,IL,Chicago,Chicago,1.0,,,,,2014-06-17T00:00:00,2014-06-17T00:00:00
/organization/19pay,19pay,http://www.19pay.com.cn,|Finance|, Finance ,"9,478,511",operating,CHN,,Beijing,Beijing,3.0,2005-01-01T00:00:00,2005-01,2005-Q1,2005.0,2006-01-01T00:00:00,2013-07-01T00:00:00
/organization/1bib,1bib,http://www.1bib.com,|Cars|Curated Web|, Curated Web , -   ,closed,CHN,,Guangzhou,Guangzhou,1.0,2006-01-01T00:00:00,2006-01,2006-Q1,2006.0,2008-02-07T00:00:00,2008-02-07T00:00:00
/organization/1c-company,1C Company,http://1c.ru/eng,|Video Games|Games|Software|, Software ,"200,000,000",,RUS,,Moscow,Moscow,1.0,1991-01-01T00:00:00,1991-01,1991-Q1,1991.0,2011-10-03T00:00:00,2011-10-03T00:00:00
/organization/1calendar,1calendar,http://1calendar.com,|Advertising|Mobile|Internet|Education|, Education ,"40,000",operating,DNK,,Copenhagen,Copenhagen,1.0,2009-01-19T00:00:00,2009-01,2009-Q1,2009.0,2008-04-04T00:00:00,2008-04-04T00:00:00
/organization/1cast,1Cast,http://www.1cast.com,|Lifestyle|Content|Video|News|, Lifestyle , -   ,operating,USA,WA,Seattle,Kirkland,1.0,2006-06-01T00:00:00,2006-06,2006-Q2,2006.0,2008-08-12T00:00:00,2008-08-12T00:00:00
/organization/1click,1CLICK,http://1click.io,|Chat|Mobile|, Chat , -   ,operating,IND,,Bangalore,Bangalore,1.0,2012-11-01T00:00:00,2012-11,2012-Q4,2012.0,2014-01-26T00:00:00,2014-01-26T00:00:00
/organization/1cloudstar-asia,1CloudStar,http://www.1CloudStar.com,|Digital Media|File Sharing|Content|Search|Cloud Computing|Enterprise Software|, File Sharing , -   ,operating,SGP,,Central Region,Singapore,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2013-08-01T00:00:00,2013-08-01T00:00:00
/organization/1d4-pty,1d4 Pty,http://www.immortaloutdoors.com,,,"40,000",operating,NOR,,Aust-Agder,,1.0,,,,,2012-04-11T00:00:00,2012-04-11T00:00:00
/organization/1daylater,1DayLater,http://1daylater.com,|Tracking|Curated Web|, Curated Web ,"43,811",operating,,,,,2.0,2009-08-26T00:00:00,2009-08,2009-Q3,2009.0,2009-05-01T00:00:00,2009-10-01T00:00:00
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|, E-Commerce ,"50,000",closed,USA,CA,"Orange County, California",Santa Ana,1.0,2008-06-30T00:00:00,2008-06,2008-Q2,2008.0,2008-06-30T00:00:00,2008-06-30T00:00:00
/organization/1docway,1DocWay,http://1docway.com,|None|, None , -   ,operating,USA,PA,Philadelphia,Philadelphia,1.0,2011-02-01T00:00:00,2011-02,2011-Q1,2011.0,2011-08-10T00:00:00,2011-08-10T00:00:00
/organization/1energy-systems,1Energy Systems,http://1energysystems.com,|Software|, Software ,"1,450,000",operating,USA,WA,Seattle,Seattle,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2013-04-22T00:00:00,2013-04-22T00:00:00
/organization/1eq,1eq,http://www.1eq.me,|Mobile Health|Health and Wellness|, Mobile Health ,"2,100,000",operating,,,,,3.0,2013-03-08T00:00:00,2013-03,2013-Q1,2013.0,2012-07-01T00:00:00,2013-12-23T00:00:00
/organization/1jiajie,1jiajie,http://www.1jiajie.com,|E-Commerce|, E-Commerce ,"163,132",operating,CHN,,Beijing,Beijing,1.0,,,,,2013-09-01T00:00:00,2013-09-01T00:00:00
/organization/1lay,1Lay,http://1lay.com,|Mobile Security|Mobile Devices|Tablets|Mobile|Security|, Mobile Security ,"170,000",operating,,,,,1.0,2013-07-18T00:00:00,2013-07,2013-Q3,2013.0,2014-05-30T00:00:00,2014-05-30T00:00:00
/organization/1life-healthcare,1Life Healthcare,http://www.1life.com,,,"30,000,000",operating,USA,CA,SF Bay Area,San Francisco,1.0,2002-01-01T00:00:00,2002-01,2002-Q1,2002.0,2013-03-21T00:00:00,2013-03-21T00:00:00
/organization/1mind,1Mind,http://1mind.com,|Social Media|, Social Media ,"500,000",operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2013-08-05T00:00:00,2013-08-05T00:00:00
/organization/1o1media,1o1Media,http://www.1o1media.com,|Monetization|Content|Distribution|Film|Video|Marketplaces|Video on Demand|Photography|, Photography , -   ,operating,DEU,,Berlin,Berlin,1.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2013-10-01T00:00:00,2013-10-01T00:00:00
/organization/1rebel,1Rebel,http://1rebelco.uk,|Fitness|, Fitness ,"2,572,969",operating,,,,,1.0,,,,,2014-09-01T00:00:00,2014-09-01T00:00:00
/organization/1ring,1Ring,http://www.1ring.com,|Games|Contests|Television|Startups|Sales and Marketing|News|Music|Advertising|Mobile|Curated Web|, Sales and Marketing , -   ,operating,,,,,1.0,2009-05-01T00:00:00,2009-05,2009-Q2,2009.0,2011-02-21T00:00:00,2011-02-21T00:00:00
/organization/1rp-media,1RP Media,,,, -   ,operating,USA,CA,Los Angeles,Los Angeles,1.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2012-06-29T00:00:00,2012-06-29T00:00:00
/organization/1sdk,1SDK,http://www.1sdk.com,|Mobile Payments|Monetization|Mobile|, Monetization ,"19,299",operating,DEU,,Berlin,Berlin,1.0,2012-09-01T00:00:00,2012-09,2012-Q3,2012.0,2013-08-05T00:00:00,2013-08-05T00:00:00
/organization/1spire,1spire,http://bitmado.com,|Manufacturing|, Manufacturing ,"30,000",operating,USA,TX,Houston,Houston,1.0,2011-10-01T00:00:00,2011-10,2011-Q4,2011.0,2011-12-20T00:00:00,2011-12-20T00:00:00
/organization/1st-choice-lawn-care,1st Choice Lawn Care,,,, -   ,operating,USA,LA,Shreveport,Bossier City,1.0,2012-08-01T00:00:00,2012-08,2012-Q3,2012.0,2012-07-22T00:00:00,2012-07-22T00:00:00
/organization/1st-merchant-funding,1st Merchant Funding,http://www.1stmerchantfunding.com/,|Financial Services|, Financial Services ,"10,000,000",,USA,FL,Miami,Miami,1.0,2007-01-01T00:00:00,2007-01,2007-Q1,2007.0,2014-05-07T00:00:00,2014-05-07T00:00:00
/organization/1stdibs,1stdibs,http://www.1stdibs.com,|E-Commerce|, E-Commerce ,"117,000,000",operating,USA,NY,New York City,New York,4.0,2001-01-01T00:00:00,2001-01,2001-Q1,2001.0,2011-11-03T00:00:00,2014-01-24T00:00:00
/organization/1stgig-com,1stGig.com,http://www.1stgig.com,|E-Commerce|, E-Commerce ,"750,000",operating,USA,NY,"Albany, NY",Saratoga Springs,1.0,2009-08-01T00:00:00,2009-08,2009-Q3,2009.0,2012-10-01T00:00:00,2012-10-01T00:00:00
/organization/1world-online,1World Online,http://1worldonline.com,|Mobile|Analytics|Big Data|Enterprise Software|, Enterprise Software ,"1,500,000",operating,USA,CA,SF Bay Area,San Jose,2.0,2011-12-01T00:00:00,2011-12,2011-Q4,2011.0,2013-07-02T00:00:00,2013-12-01T00:00:00
/organization/2-minutes,2 Minutes,http://www.2minutes.fr,|Games|, Games ,"1,660,000",operating,FRA,,Paris,Paris,1.0,2000-10-01T00:00:00,2000-10,2000-Q4,2000.0,2008-06-19T00:00:00,2008-06-19T00:00:00
/organization/2-pro-media-group,2 Pro Media Group,http://www.2pro.hk,,,"41,250",operating,,,,,1.0,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,2014-01-01T00:00:00,2014-01-01T00:00:00
/organization/2-observe,2-Observe,http://www.2-observe.be/,,,"204,189",operating,BEL,,Liege,FerriíÂres,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2014-06-25T00:00:00,2014-06-25T00:00:00
/organization/20-20-gene-systems-inc,20/20 Gene Systems Inc.,http://2020gene.com,|Biotechnology|, Biotechnology ,"150,000",operating,USA,MD,Washington D.C.,Rockville,1.0,2000-05-01T00:00:00,2000-05,2000-Q2,2000.0,2012-09-25T00:00:00,2012-09-25T00:00:00
/organization/2080-media,2080 Media,,|News|, News ,"41,000,000",operating,USA,GA,Atlanta,Atlanta,5.0,2008-01-01T00:00:00,2008-01,2008-Q1,2008.0,2010-08-05T00:00:00,2013-07-19T00:00:00
/organization/20-20-mobile,20:20 Mobile,http://www.2020mobile.com,|Mobile|, Mobile ,"29,750,000",operating,IRL,,Offaly,Cree,1.0,2006-09-01T00:00:00,2006-09,2006-Q3,2006.0,2008-07-04T00:00:00,2008-07-04T00:00:00
/organization/20lines,20lines,http://20lines.com,|Publishing|Education|Parenting|Curated Web|, Curated Web ,"1,236,454",operating,ITA,,Roncade,Roncade,3.0,2012-01-01T00:00:00,2012-01,2012-Q1,2012.0,2012-11-15T00:00:00,2014-06-01T00:00:00
/organization/20x200,20x200,http://www.20x200.com,|Social Commerce|Art|E-Commerce|, Art ,"2,800,000",operating,USA,NY,New York City,New York,2.0,2007-09-01T00:00:00,2007-09,2007-Q3,2007.0,2009-10-01T00:00:00,2010-08-01T00:00:00
/organization/21cake-food-co,21Cake Food Co.,http://www.21cake.com,|Manufacturing|Hospitality|, Manufacturing ,"1,464,128",operating,CHN,,Beijing,Beijing,1.0,2004-01-01T00:00:00,2004-01,2004-Q1,2004.0,2010-01-22T00:00:00,2010-01-22T00:00:00
/organization/21e6,2.10E+07,,,,"5,050,000",operating,USA,CA,SF Bay Area,San Francisco,1.0,2013-01-01T00:00:00,2013-01,2013-Q1,2013.0,2013-11-17T00:00:00,2013-11-17T00:00:00
/organization/21grams,21GRAMS,http://www.21grams.se,|Software|, Software ,"2,580,000",operating,SWE,,Stockholm,Stockholm,1.0,,,,,2006-04-03T00:00:00,2006-04-03T00:00:00
/organization/21vianet,21viaNet,http://www.ch.21vianet.com,|Software|Web Hosting|, Software ,"100,000,000",operating,CHN,,Beijing,Beijing,2.0,2009-10-16T00:00:00,2009-10,2009-Q4,2009.0,2012-12-01T00:00:00,2013-10-01T00:00:00
