company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_list,investor_market,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/organization/myandb,Myandb,|Music|,Music,KOR,,Seoul,Seoul,,,,,,,,,/funding-round/44e67390e03dde5358c65c353318bc20,undisclosed,,2013-05-31T00:00:00,2013-05,2013-Q2,2013.0,"30,968"
/organization/goldpocket-interactive,Goldpocket Interactive,|Television|Software|,Software,USA,CA,Los Angeles,Los Angeles,,,,,,,,,/funding-round/fe5ce7fc6e13da8ca7883dd1482e7a97,venture,B,2000-03-30T00:00:00,2000-03,2000-Q1,2000.0,"43,000,000"
/organization/weatlas,Weatlas,|Online Reservations|Travel|Curated Web|,Curated Web,RUS,,Moscow,Moscow,,,,,,,,,/funding-round/30dd0516a92121d56f0066ce21852a03,seed,,2014-08-06T00:00:00,2014-08,2014-Q3,2014.0,"600,000"
/organization/crowdzu,Crowdzu,|Video|Fashion|Music|Photography|Design|Marketplaces|Crowdfunding|Crowdsourcing|Curated Web|,Fashion,USA,NY,New York City,New York,,,,,,,,,/funding-round/844c7d9fcf46a6c7b0098835b321866e,seed,,2013-11-18T00:00:00,2013-11,2013-Q4,2013.0,"35,000"
/organization/liv-blends,LivBlends,|Health and Wellness|,Health and Wellness,USA,CA,SF Bay Area,San Francisco,,,,,,,,,/funding-round/becc766c1087d5449d549931e416f1ba,seed,,2014-05-28T00:00:00,2014-05,2014-Q2,2014.0,"745,000"
/organization/wave-telecom,Wave Telecom,|Wireless|Advertising|Mobile|,Advertising,DOM,,,,,,,,,,,,/funding-round/c423b8a3e967e123588202a755f9e798,venture,A,2013-12-31T00:00:00,2013-12,2013-Q4,2013.0,
/organization/ziprecruiter,ZipRecruiter,|Social Recruiting|Recruiting|Human Resources|Employment|None|,Social Recruiting,USA,CA,Los Angeles,Santa Monica,,,,,,,,,/funding-round/862ea5fd748427393150f08c48a5414d,venture,A,2014-08-26T00:00:00,2014-08,2014-Q3,2014.0,"63,000,000"
/organization/leevia,Leevia,|Social Activists|Charity|Photography|Photo Sharing|Crowdfunding|,,ITA,,Trento,Trento,,,,,,,,,/funding-round/e63e91cbb818929f490c8c4290a0cf09,grant,,2014-02-01T00:00:00,2014-02,2014-Q1,2014.0,"202,658"
/organization/nitropcr,NitroPCR,|Mobile Health|Health Care Information Technology|Mobile|,Health Care Information Technology,,,,,,,,,,,,,/funding-round/a2c6487f75dbea89e32e3a5b4e55b81b,seed,,2013-03-01T00:00:00,2013-03,2013-Q1,2013.0,"95,000"
/organization/copatient,CoPatient,|Heathcare|Enterprise Software|,Enterprise Software,USA,OR,"Portland, ME",Portland,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/2c1aa2ba3d255e2a4bf9247cb4108f64,venture,A,2014-06-25T00:00:00,2014-06,2014-Q2,2014.0,"3,600,000"
/organization/onapsis,Onapsis Inc.,|Security|,Security,USA,MA,Boston,Cambridge,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/091ada59af554599502ea84f7b0830d4,venture,,2014-06-17T00:00:00,2014-06,2014-Q2,2014.0,"9,600,000"
/organization/cloudhealth-technologies,CloudHealth Technologies,|Software|,Software,USA,MA,Boston,Boston,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/7b187d85ddabe43a1edcd46f04ff4e28,venture,A,2014-06-17T00:00:00,2014-06,2014-Q2,2014.0,"3,200,000"
/organization/urban-compass,Urban Compass,|Real Estate|Mobile|Local|Curated Web|,Local,USA,NY,New York City,New York,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/c8105ddec08afa6bfb44b68caadace97,venture,B,2014-07-21T00:00:00,2014-07,2014-Q3,2014.0,"40,000,000"
/organization/abilto,AbilTo,|Teachers|Health and Wellness|VoIP|Technology|Web Development|Internet|Therapeutics|Medical|Psychology|Heathcare|Curated Web|,Health and Wellness,USA,NY,New York City,New York,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/8a033677a77513a346ecf039483622be,venture,a,2013-05-14T00:00:00,2013-05,2013-Q2,2013.0,"3,000,000"
/organization/ambient-devices,Ambient Devices,|Mobile|,Mobile,,,,,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/e49e8dbc4606415a48d3a4d297d889c2,venture,c,2008-09-16T00:00:00,2008-09,2008-Q3,2008.0,"5,000,000"
/organization/urban-compass,Urban Compass,|Real Estate|Mobile|Local|Curated Web|,Local,USA,NY,New York City,New York,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/3819ea64cd64a8f296d9aeb2bc621497,seed,,2012-12-17T00:00:00,2012-12,2012-Q4,2012.0,"8,000,000"
/organization/mineraltree,MineralTree,|Analytics|,Analytics,USA,MA,Boston,Cambridge,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/199f917c2d5b783caaa2a649379dd46a,venture,a,2012-06-27T00:00:00,2012-06,2012-Q2,2012.0,"6,300,000"
/organization/connotate,Connotate,|Enterprises|Data Mining|Business Intelligence|Big Data|Analytics|,Analytics,USA,NJ,Newark,New Brunswick,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/eb9c63d7eabadbe8f21c2e10aed9359d,venture,b,2012-04-12T00:00:00,2012-04,2012-Q2,2012.0,"7,000,000"
/organization/bit9,Bit9,|Security|,Security,USA,MA,Bangor,Waltham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/e86e9ab83f279fd58c3a94725aa970fb,venture,c,2007-10-27T00:00:00,2007-10,2007-Q4,2007.0,"10,000,000"
/organization/cloudhealth-technologies,CloudHealth Technologies,|Software|,Software,USA,MA,Boston,Boston,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/12cc25cf47d24f6902ba777ba3ff65c8,venture,a,2013-03-12T00:00:00,2013-03,2013-Q1,2013.0,"4,500,000"
/organization/veracode,Veracode,|Mobile Security|Cyber|Security|,Mobile Security,USA,MA,Boston,Burlington,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/a19db06356faf13ec99eb8c07d3555cd,venture,d,2010-02-08T00:00:00,2010-02,2010-Q1,2010.0,"12,260,328"
/organization/iora-health,Iora Health,|Health and Wellness|,Health and Wellness,USA,MA,Boston,Cambridge,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/e1d2920bcfe51a3333f4ef006a974403,venture,b,2013-04-17T00:00:00,2013-04,2013-Q2,2013.0,"14,000,000"
/organization/woodpellets-com,woodpellets.com,|Clean Technology|,Clean Technology,USA,NH,"Manchester, New Hampshire",Goffstown,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/c730e4b11886fd554203c9fdb546a600,venture,b,2009-08-31T00:00:00,2009-08,2009-Q3,2009.0,"11,000,000"
/organization/woodpellets-com,woodpellets.com,|Clean Technology|,Clean Technology,USA,NH,"Manchester, New Hampshire",Goffstown,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/57d79a986d387e98d9356a4b8126c205,venture,a,2008-06-03T00:00:00,2008-06,2008-Q2,2008.0,"4,000,000"
/organization/attendware,Attend.com,|Software|,Software,USA,MA,Boston,Boston,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/e9d3a39c27bae7ecc1994e95e5d35a92,venture,a,2013-06-25T00:00:00,2013-06,2013-Q2,2013.0,"1,000,000"
/organization/urban-compass,Urban Compass,|Real Estate|Mobile|Local|Curated Web|,Local,USA,NY,New York City,New York,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/629dbb7615d229c8a6cfe9f5edb4951d,venture,a,2013-09-25T00:00:00,2013-09,2013-Q3,2013.0,"25,000,000"
/organization/ratepoint,RatePoint,|Surveys|Email Marketing|Web Hosting|Reviews and Recommendations|Small and Medium Businesses|Reputation|Customer Service|Software|,Email Marketing,USA,MA,Boston,Needham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/79b88f66a9c7c321447f46a731be793e,venture,c,2010-08-20T00:00:00,2010-08,2010-Q3,2010.0,"7,000,000"
/organization/kaltura,Kaltura,|Web CMS|Content|Video Editing|Open Source|Music|Web Tools|Media|Collaboration|Video|Software|,Content,,,,,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/54202b77006a4a84ca7d7153b0fd61a3,undisclosed,,2011-02-14T00:00:00,2011-02,2011-Q1,2011.0,"20,000,000"
/organization/connotate,Connotate,|Enterprises|Data Mining|Business Intelligence|Big Data|Analytics|,Analytics,USA,NJ,Newark,New Brunswick,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/f076023550950ab4c3ae4343faba1dd3,venture,a,2010-06-08T00:00:00,2010-06,2010-Q2,2010.0,"5,250,000"
/organization/kaltura,Kaltura,|Web CMS|Content|Video Editing|Open Source|Music|Web Tools|Media|Collaboration|Video|Software|,Content,,,,,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/168fbf8dd60b00615f0dab84e2b6ca96,venture,d,2012-11-21T00:00:00,2012-11,2012-Q4,2012.0,"25,000,000"
/organization/ratepoint,RatePoint,|Surveys|Email Marketing|Web Hosting|Reviews and Recommendations|Small and Medium Businesses|Reputation|Customer Service|Software|,Email Marketing,USA,MA,Boston,Needham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/32ae6ee12ca403328fa50dd483f04e6d,venture,a,2007-01-29T00:00:00,2007-01,2007-Q1,2007.0,"1,000,000"
/organization/memento,Memento,|Security|Enterprise Software|,Security,USA,MA,SF Bay Area,Concord,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/178fdc6b1f3f0cb0d26b11303c532c15,undisclosed,,2007-05-09T00:00:00,2007-05,2007-Q2,2007.0,"7,500,000"
/organization/american-biomass,American Biomass,|Clean Technology|,Clean Technology,USA,NH,"Manchester, New Hampshire",Goffstown,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/505b323bec839190fe0d25082fbc3ea1,venture,a,2008-05-15T00:00:00,2008-05,2008-Q2,2008.0,"4,030,000"
/organization/threat-stack,Threat Stack,|Finance|Cloud Security|SaaS|Security|,Finance,USA,MA,Boston,Cambridge,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/9ff077fbb7fa78a6b76d3e99f9946932,seed,,2013-10-22T00:00:00,2013-10,2013-Q4,2013.0,"1,200,000"
/organization/mashery,Mashery,|Analytics|Services|Enterprises|SaaS|Developer APIs|Enterprise Software|,Enterprises,USA,CA,SF Bay Area,San Francisco,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/3a07dd94731e596c48db43df0feb3546,venture,b,2008-10-29T00:00:00,2008-10,2008-Q4,2008.0,"7,000,000"
/organization/ratepoint,RatePoint,|Surveys|Email Marketing|Web Hosting|Reviews and Recommendations|Small and Medium Businesses|Reputation|Customer Service|Software|,Email Marketing,USA,MA,Boston,Needham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/4e9b2812eb1e0931794f83210bc9a894,venture,a,2007-06-01T00:00:00,2007-06,2007-Q2,2007.0,"6,500,000"
/organization/energyhub,EnergyHub,|Clean Technology|,Clean Technology,USA,NY,New York City,Brooklyn,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/aa4f931d17112ba9dac4d149b22923e0,venture,b,2011-08-25T00:00:00,2011-08,2011-Q3,2011.0,"14,500,000"
/organization/kaltura,Kaltura,|Web CMS|Content|Video Editing|Open Source|Music|Web Tools|Media|Collaboration|Video|Software|,Content,,,,,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/6ff90875d9159b89aa6545d23f32695d,venture,b,2008-06-20T00:00:00,2008-06,2008-Q2,2008.0,"21,000,000"
/organization/optaros,Optaros,|World Domination|Open Source|Consulting|,Open Source,USA,MA,Boston,Boston,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/4ee95496af20ff61eabb3511f7ec58e7,venture,c,2008-06-01T00:00:00,2008-06,2008-Q2,2008.0,"12,000,000"
/organization/veracode,Veracode,|Mobile Security|Cyber|Security|,Mobile Security,USA,MA,Boston,Burlington,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/db676dfcfaf44bde20751959cef3d487,venture,b,2007-01-22T00:00:00,2007-01,2007-Q1,2007.0,"19,500,000"
/organization/ratepoint,RatePoint,|Surveys|Email Marketing|Web Hosting|Reviews and Recommendations|Small and Medium Businesses|Reputation|Customer Service|Software|,Email Marketing,USA,MA,Boston,Needham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/04e4fa0a41a98a26ec4d03c300d66c85,venture,b,2009-01-07T00:00:00,2009-01,2009-Q1,2009.0,"10,000,000"
/organization/mineraltree,MineralTree,|Analytics|,Analytics,USA,MA,Boston,Cambridge,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/c5282eea0a3d469e7ef5d7a6d62e93ac,undisclosed,,2011-11-09T00:00:00,2011-11,2011-Q4,2011.0,"1,500,000"
/organization/vaultive,Vaultive,|Security|,Security,USA,NY,New York City,New York,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/d4ae1d85c15b55ebee6c01f706068433,venture,a,2012-02-27T00:00:00,2012-02,2012-Q1,2012.0,"10,000,000"
/organization/digitalsmiths,Digitalsmiths,|Web Development|Video|Software|,Video,USA,NC,Raleigh-Durham,Durham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/9283f86b3a92ac02328a51537189c122,venture,c,2011-04-27T00:00:00,2011-04,2011-Q2,2011.0,"12,500,000"
/organization/abilto,AbilTo,|Teachers|Health and Wellness|VoIP|Technology|Web Development|Internet|Therapeutics|Medical|Psychology|Heathcare|Curated Web|,Health and Wellness,USA,NY,New York City,New York,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/3493aef8ac2dd0e24ebe66801dc28fde,venture,b,2014-03-18T00:00:00,2014-03,2014-Q1,2014.0,"6,000,000"
/organization/wireover,WireOver,|Curated Web|,Curated Web,,,,,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/1286ecd15fac08512e75d0fb64a394e1,seed,,2012-08-01T00:00:00,2012-08,2012-Q3,2012.0,
/organization/pwnie-express,Pwnie Express,|Software|,Software,USA,VT,Vermont,Montpelier,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/7f1310de67734f36d79707fe4a79d9a3,venture,a,2013-07-30T00:00:00,2013-07,2013-Q3,2013.0,"5,100,000"
/organization/bit9,Bit9,|Security|,Security,USA,MA,Bangor,Waltham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/096afb951fb6cf4c21fa5841883ecaff,venture,e,2014-02-13T00:00:00,2014-02,2014-Q1,2014.0,"38,250,000"
/organization/digitalsmiths,Digitalsmiths,|Web Development|Video|Software|,Video,USA,NC,Raleigh-Durham,Durham,/organization/406-ventures,.406 Ventures,,,USA,MA,Boston,Boston,/funding-round/13c11fddf8006130e76e63b54ae5b530,venture,b,2008-11-13T00:00:00,2008-11,2008-Q4,2008.0,"12,000,000"
